source,target,lag,count,B,freq,mean_val,tau_max,pc_alpha,alpha_level,fdr,block_len,seed,max_conds_dim,max_conds_px,max_conds_py,parent_restrict,topk_fast,topk_growth,ar_fast,ar_growth,growth_target,delta_7d_lag_points
delta_mass_7d,delta_mass_7d,1,30,30,1.0,0.7115000694308389,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/leaf_temperature,compartment/leaf_temperature,1,30,30,1.0,0.5811714088651703,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/leaf_temperature,compartment/air_temperature,1,30,30,1.0,0.10207047157047026,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/air_temperature,compartment/air_temperature,1,30,30,1.0,0.6896036150520126,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
substrate_temperature_mean,compartment/air_temperature,1,30,30,1.0,0.07324390933071252,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/screen_energy/screen_position,compartment/air_temperature,2,30,30,1.0,-0.08293770908255109,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/window_position_lee_side,compartment/air_temperature,1,30,30,1.0,0.13014394125594347,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/window_position_wind_side,compartment/air_temperature,1,30,30,1.0,0.1423892470511529,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/humidity_deficit,compartment/humidity_deficit,1,30,30,1.0,0.6322429537142346,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
energy/energy_use.heating,compartment/humidity_deficit,1,30,30,1.0,-0.0645567274699729,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/screen_energy/screen_position,compartment/humidity_deficit,1,30,30,1.0,-0.04874784435562107,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
compartment/screen_blackout/screen_position,compartment/humidity_deficit,2,30,30,1.0,-0.04289948907751035,288,0.1,0.1,False,144,20260211,,,,True,30,30,3,1,delta_mass_7d,1008
