source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,method,use_autolag,use_hierarchy,tau_setting,bootstrap_stability
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7402447128583306,0.7402447128583306,State,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,3.8878488682768546e-31,-0.10852425311316147,0.10852425311316147,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/leaf_temperature,compartment/air_temperature,1,3.3778010439259647e-18,0.08143792816706008,0.08143792816706008,Physiology,State,False,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/par,compartment/air_temperature,1,7.414965746979756e-101,0.1980080015242466,0.1980080015242466,State,State,False,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/window_position_lee_side,compartment/air_temperature,1,3.8406086156656737e-90,-0.1871718377440324,0.1871718377440324,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/window_position_wind_side,compartment/air_temperature,1,1.5124028361858782e-16,-0.07731797146201458,0.07731797146201458,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
energy/energy_use.heating,compartment/air_temperature,1,1.5819235417139335e-44,0.13074130354466282,0.13074130354466282,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/co2_concentration,compartment/co2_concentration,1,0.0,0.7275070077318598,0.7275070077318598,State,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/co2_concentration,compartment/co2_concentration,4,0.06949642418624846,-0.017034250876931785,0.017034250876931785,State,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/leaf_temperature,compartment/co2_concentration,1,0.0003897655953902292,-0.03326403442261293,0.03326403442261293,Physiology,State,False,autolag_pcmciplus,True,False,target_specific_autolag,
compartment/window_position_lee_side,compartment/co2_concentration,1,3.151780457880174e-19,-0.08394611010738703,0.08394611010738703,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
energy/co2_dosage,compartment/co2_concentration,1,0.0,0.5701935322887934,0.5701935322887934,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
energy/co2_dosage,compartment/co2_concentration,2,8.421372135856007e-136,-0.22958543414678723,0.22958543414678723,Action,State,True,autolag_pcmciplus,True,False,target_specific_autolag,
