source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,method,use_autolag,use_hierarchy,tau_setting,bootstrap_stability,bootstrap_count,bootstrap_reps
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7823237032456273,0.7823237032456273,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,8.278153990149726e-20,-0.0852655537222612,0.0852655537222612,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/water_supply/water_flow_duration,compartment/air_temperature,1,0.023462328571796417,-0.02124460515339158,0.02124460515339158,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.26666666666666666,8.0,30.0
compartment/window_position_lee_side,compartment/air_temperature,1,2.9495099242642525e-105,-0.2022053885777799,0.2022053885777799,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/window_position_wind_side,compartment/air_temperature,1,2.289526886296486e-09,-0.055994694362907105,0.055994694362907105,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.6333333333333333,19.0,30.0
energy/co2_dosage,compartment/air_temperature,1,2.175634732322674e-10,0.05947737135847579,0.05947737135847579,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9666666666666667,29.0,30.0
energy/electricity_use.lighting,compartment/air_temperature,1,8.250958288430904e-46,0.13263567141478189,0.13263567141478189,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9,27.0,30.0
energy/energy_use.heating,compartment/air_temperature,1,9.607895982819362e-25,0.09608190331307867,0.09608190331307867,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/co2_concentration,compartment/co2_concentration,1,0.0,0.7249728299182618,0.7249728299182618,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/co2_concentration,compartment/co2_concentration,4,0.0237022715647923,-0.02122578033199929,0.02122578033199929,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.4666666666666667,14.0,30.0
compartment/screen_blackout/screen_position,compartment/co2_concentration,1,0.09769324774051209,0.015533086391236335,0.015533086391236335,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.5666666666666667,17.0,30.0
compartment/window_position_lee_side,compartment/co2_concentration,1,7.560584932699709e-35,-0.11512226789018537,0.11512226789018537,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/window_position_lee_side,compartment/co2_concentration,4,0.0001188612056003357,0.03608548012955918,0.03608548012955918,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.43333333333333335,13.0,30.0
compartment/window_position_wind_side,compartment/co2_concentration,1,9.178420279545672e-05,0.0366763011704449,0.0366763011704449,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.7,21.0,30.0
energy/co2_dosage,compartment/co2_concentration,1,0.0,0.5721965880138677,0.5721965880138677,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/co2_dosage,compartment/co2_concentration,2,6.404164090836446e-138,-0.23127780357818029,0.23127780357818029,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.6,18.0,30.0
energy/co2_dosage,compartment/co2_concentration,3,2.6006375784299308e-48,-0.1363458719552498,0.1363458719552498,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.8666666666666667,26.0,30.0
energy/co2_dosage,compartment/co2_concentration,4,4.31652516442155e-32,-0.11026300562939723,0.11026300562939723,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/electricity_use.lighting,compartment/co2_concentration,1,0.0009106730059492426,-0.031101168431560494,0.031101168431560494,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.5666666666666667,17.0,30.0
energy/electricity_use.lighting,compartment/co2_concentration,2,2.0254693643152163e-05,0.03996070565003214,0.03996070565003214,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.7333333333333333,22.0,30.0
energy/energy_use.heating,compartment/co2_concentration,3,0.002463369492984798,0.028394025366835426,0.028394025366835426,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.43333333333333335,13.0,30.0
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,1,0.0,0.7304822173575163,0.7304822173575163,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/heating_lower_circuit/pipe_temperature,compartment/humidity_deficit,2,2.721382379314183e-05,0.03933984928881446,0.03933984928881446,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.2,6.0,30.0
compartment/humidity_deficit,compartment/humidity_deficit,1,0.0,0.6740409128120697,0.6740409128120697,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/humidity_deficit,compartment/humidity_deficit,7,2.8404107155976692e-21,0.08869417379700797,0.08869417379700797,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.26666666666666666,8.0,30.0
compartment/humidity_deficit,compartment/humidity_deficit,10,0.0007379374912153853,-0.031670048848450774,0.031670048848450774,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.36666666666666664,11.0,30.0
compartment/screen_blackout/screen_position,compartment/humidity_deficit,1,0.04954749382376014,-0.01841947255016902,0.01841947255016902,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.7,21.0,30.0
compartment/screen_blackout/screen_position,compartment/humidity_deficit,10,0.01928901931991176,-0.021945743924594172,0.021945743924594172,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
compartment/screen_energy/screen_position,compartment/humidity_deficit,1,5.716419077682199e-14,-0.0703951731387535,0.0703951731387535,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.8666666666666667,26.0,30.0
compartment/window_position_lee_side,compartment/humidity_deficit,2,0.0006504500687710175,-0.03197460334581756,0.03197460334581756,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.16666666666666666,5.0,30.0
energy/electricity_use.lighting,compartment/humidity_deficit,1,1.8064657356781844e-17,0.07965633781085935,0.07965633781085935,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.6,18.0,30.0
energy/energy_use.heating,compartment/humidity_deficit,1,1.603245610052986e-31,0.10923117627410167,0.10923117627410167,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9666666666666667,29.0,30.0
energy/energy_use.heating,compartment/humidity_deficit,7,1.868138657148317e-05,-0.04013138220161123,0.04013138220161123,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.1,3.0,30.0
compartment/air_temperature,compartment/leaf_temperature,1,8.137050198487809e-30,0.10606872576003011,0.10606872576003011,State,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6263408974705271,0.6263408974705271,Physiology,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/par,compartment/leaf_temperature,1,1.7289321795766882e-12,0.06609014922880746,0.06609014922880746,State,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9666666666666667,29.0,30.0
compartment/par,compartment/par,1,0.0,0.5405046463858674,0.5405046463858674,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/par,compartment/par,2,2.2038769429729656e-11,0.06270255500326773,0.06270255500326773,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9666666666666667,29.0,30.0
compartment/par,compartment/par,3,2.1162431061461053e-11,0.06276355508575149,0.06276355508575149,State,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/screen_blackout/screen_position,compartment/par,1,0.040394165115431424,-0.01921857765803358,0.01921857765803358,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/co2_dosage,compartment/par,1,0.0002578887624914919,0.0342569152868012,0.0342569152868012,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9,27.0,30.0
energy/co2_dosage,compartment/par,3,0.08935684140677194,0.01592893615123369,0.01592893615123369,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.23333333333333334,7.0,30.0
energy/electricity_use.lighting,compartment/par,1,9.352955761178416e-49,0.1369530660347395,0.1369530660347395,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/electricity_use.lighting,compartment/par,2,9.122689493049481e-06,-0.04158840228715735,0.04158840228715735,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.6333333333333333,19.0,30.0
compartment/screen_blackout/screen_position,compartment/screen_blackout/screen_position,1,0.0,0.7981614130394057,0.7981614130394057,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/screen_energy/screen_position,compartment/screen_energy/screen_position,1,0.0,0.7874432172336208,0.7874432172336208,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/water_supply/water_flow_duration,compartment/water_supply/water_flow_duration,1,0.0,0.860388558772403,0.860388558772403,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/window_position_lee_side,compartment/window_position_lee_side,1,0.0,0.693138428062742,0.693138428062742,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/window_position_wind_side,compartment/window_position_wind_side,1,0.0,0.7037276617847854,0.7037276617847854,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/window_position_wind_side,compartment/window_position_wind_side,2,7.891065571100857e-24,-0.09415059912966808,0.09415059912966808,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.7666666666666667,23.0,30.0
energy/co2_dosage,energy/co2_dosage,1,0.0,0.5451072015997991,0.5451072015997991,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/electricity_use.lighting,energy/electricity_use.lighting,1,0.0,0.7791009873424788,0.7791009873424788,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
energy/energy_use.heating,energy/energy_use.heating,1,0.0,0.766398696965059,0.766398696965059,Action,Action,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,1,7.59063175735744e-14,-0.07004148369228941,0.07004148369228941,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.36666666666666664,11.0,30.0
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,2,8.489659506846308e-11,0.06082774637081942,0.06082774637081942,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.06666666666666667,2.0,30.0
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,3,4.769262785346403e-06,-0.04288547453230289,0.04288547453230289,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
compartment/water_supply/water_flow_duration,substrate_bulk_ec_mean,4,1.963865310577369e-09,0.05623808245755685,0.05623808245755685,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.0,,
energy/co2_dosage,substrate_bulk_ec_mean,1,0.014837152389112838,0.022847931812773975,0.022847931812773975,Action,State,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.36666666666666664,11.0,30.0
