source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,method,use_autolag,use_hierarchy,tau_setting,bootstrap_stability,bootstrap_count,bootstrap_reps
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7137961401179393,0.7137961401179393,State,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/air_temperature,compartment/air_temperature,2,5.854253837676923e-06,-0.042444478378273046,0.042444478378273046,State,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,5.211738456210511e-12,-0.06457810958210439,0.06457810958210439,Action,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/humidity_deficit,compartment/air_temperature,11,5.2618021494007e-05,-0.03787642056308888,0.03787642056308888,State,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/leaf_temperature,compartment/air_temperature,1,7.652434439162024e-13,0.06705034369188648,0.06705034369188648,Physiology,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/leaf_temperature,compartment/air_temperature,2,2.221742705849653e-26,-0.09930405384426831,0.09930405384426831,Physiology,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/leaf_temperature,compartment/air_temperature,5,0.003636108502640207,0.027236151648958776,0.027236151648958776,Physiology,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/par,compartment/air_temperature,1,1.569277519257139e-86,0.18310682788242957,0.18310682788242957,State,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/par,compartment/air_temperature,2,3.447545256144538e-09,-0.0553064636358392,0.0553064636358392,State,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/par,compartment/air_temperature,5,0.0005079132317300486,-0.03255865042064445,0.03255865042064445,State,State,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/screen_blackout/screen_position,compartment/air_temperature,2,0.08853709458338217,-0.015951641396357054,0.015951641396357054,Action,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/window_position_lee_side,compartment/air_temperature,1,1.2946761506483114e-147,-0.23880555961715969,0.23880555961715969,Action,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/window_position_lee_side,compartment/air_temperature,2,2.3768268394572885e-29,0.10506432268098455,0.10506432268098455,Action,State,True,standard_pcmciplus,False,False,fixed_tau_12,,,
