target,short_label,tau_hat,n_points,min_tau,max_tau,x_mode,x_unit,used_xmax,figure
compartment/leaf_temperature,Leaf_T,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Leaf_T.png
compartment/air_temperature,Air_T,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Air_T.png
compartment/humidity_deficit,VPD,10,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\VPD.png
compartment/co2_concentration,CO2_C,4,9,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\CO2_C.png
compartment/par,PAR,3,9,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\PAR.png
substrate_relative_permittivity_mean,S_Perm,1,38,1,72,adaptive,step,72.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\S_Perm.png
substrate_bulk_ec_mean,S_EC,36,50,12,72,adaptive,step,72.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\S_EC.png
substrate_temperature_mean,S_Temp,8,12,1,36,adaptive,step,36.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\S_Temp.png
energy/energy_use.heating,Heat,1,9,1,36,adaptive,step,36.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Heat.png
energy/electricity_use.lighting,Light,1,9,1,36,adaptive,step,36.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Light.png
energy/co2_dosage,CO2_D,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\CO2_D.png
compartment/screen_energy/screen_position,Screen_E,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Screen_E.png
compartment/screen_blackout/screen_position,Screen_B,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Screen_B.png
compartment/water_supply/water_flow_duration,Water,1,9,1,36,adaptive,step,36.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Water.png
compartment/window_position_lee_side,L_Side,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\L_Side.png
compartment/window_position_wind_side,W_Side,2,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\W_Side.png
compartment/heating_lower_circuit/pipe_temperature,Pipe_T,1,8,1,12,adaptive,step,12.0,D:\JetBrains\Python\PyCharmProjects\GreenHouse·TomatoExperimentTriggerImprovement\step3_autolag_pcmciplus\step3_review_experiments\fig_autolag_cv_tauhat_new_adaptive_x\Pipe_T.png
