source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,tau_max
compartment/air_temperature,compartment/air_temperature,1,0.0,0.7648099922620001,0.7648099922620001,State,State,True,6
compartment/air_temperature,compartment/air_temperature,2,0.00035601140928720226,-0.03342391648633275,0.03342391648633275,State,State,True,6
compartment/air_temperature,compartment/air_temperature,6,0.007361464148747169,0.02509301622923718,0.02509301622923718,State,State,True,6
compartment/heating_lower_circuit/pipe_temperature,compartment/air_temperature,1,8.748461953392236e-32,-0.10946013363910664,0.10946013363910664,Action,State,True,6
compartment/screen_blackout/screen_position,compartment/air_temperature,1,6.872382455974713e-22,0.08979544696860983,0.08979544696860983,Action,State,True,6
compartment/screen_blackout/screen_position,compartment/air_temperature,2,4.711779424088723e-22,-0.09015991931230222,0.09015991931230222,Action,State,True,6
compartment/screen_energy/screen_position,compartment/air_temperature,2,4.9470280970831764e-05,-0.037961582667598914,0.037961582667598914,Action,State,True,6
compartment/window_position_lee_side,compartment/air_temperature,1,1.1241182250642234e-154,-0.24417957872106832,0.24417957872106832,Action,State,True,6
compartment/window_position_wind_side,compartment/air_temperature,3,3.3066803102925734e-10,0.058750918148845636,0.058750918148845636,Action,State,True,6
energy/co2_dosage,compartment/air_temperature,1,1.9431716573688784e-10,0.059522332186872674,0.059522332186872674,Action,State,True,6
energy/electricity_use.lighting,compartment/air_temperature,1,1.4953704466692193e-43,0.12895098693118953,0.12895098693118953,Action,State,True,6
energy/electricity_use.lighting,compartment/air_temperature,2,8.084463120241843e-08,-0.050175468851567456,0.050175468851567456,Action,State,True,6
energy/energy_use.heating,compartment/air_temperature,1,4.734998305432101e-25,0.09651719339195836,0.09651719339195836,Action,State,True,6
energy/energy_use.heating,compartment/air_temperature,3,0.013411925317571466,-0.023135515435594497,0.023135515435594497,Action,State,True,6
energy/energy_use.heating,compartment/air_temperature,6,0.024497642469091967,-0.02104659854606027,0.02104659854606027,Action,State,True,6
compartment/co2_concentration,compartment/co2_concentration,1,0.0,0.7238163844323561,0.7238163844323561,State,State,True,6
compartment/co2_concentration,compartment/co2_concentration,5,2.829680548459105e-09,-0.05558543593388793,0.05558543593388793,State,State,True,6
compartment/co2_concentration,compartment/co2_concentration,6,0.09086600911815981,0.01583142313676656,0.01583142313676656,State,State,True,6
compartment/window_position_lee_side,compartment/co2_concentration,1,3.6500374695515144e-32,-0.1101344790290937,0.1101344790290937,Action,State,True,6
compartment/window_position_lee_side,compartment/co2_concentration,4,0.0005630330250913153,0.032263793897951115,0.032263793897951115,Action,State,True,6
compartment/window_position_lee_side,compartment/co2_concentration,5,0.051234035303776015,0.018241760471944146,0.018241760471944146,Action,State,True,6
compartment/window_position_wind_side,compartment/co2_concentration,1,4.412713296883055e-05,0.03820874124156301,0.03820874124156301,Action,State,True,6
energy/co2_dosage,compartment/co2_concentration,1,0.0,0.5713610417125375,0.5713610417125375,Action,State,True,6
energy/co2_dosage,compartment/co2_concentration,2,4.7036689096535307e-122,-0.21721358454974468,0.21721358454974468,Action,State,True,6
energy/co2_dosage,compartment/co2_concentration,3,4.935346890346713e-31,-0.10808888037913007,0.10808888037913007,Action,State,True,6
energy/co2_dosage,compartment/co2_concentration,4,8.555511134882698e-33,-0.1112697600602332,0.1112697600602332,Action,State,True,6
energy/co2_dosage,compartment/co2_concentration,5,1.1355541902248154e-11,-0.06346436191844801,0.06346436191844801,Action,State,True,6
energy/electricity_use.lighting,compartment/co2_concentration,1,0.0002670818160811443,-0.03409927883135649,0.03409927883135649,Action,State,True,6
energy/electricity_use.lighting,compartment/co2_concentration,2,4.595373139584571e-05,0.038120612537744805,0.038120612537744805,Action,State,True,6
energy/energy_use.heating,compartment/co2_concentration,3,0.005525915857872506,0.025960514681919882,0.025960514681919882,Action,State,True,6
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,1,0.0,0.7210737344504281,0.7210737344504281,Action,Action,True,6
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,2,2.558370557941766e-55,-0.14573338283196136,0.14573338283196136,Action,Action,True,6
compartment/heating_lower_circuit/pipe_temperature,compartment/heating_lower_circuit/pipe_temperature,5,6.796797341052094e-05,0.037237678947136976,0.037237678947136976,Action,Action,True,6
compartment/heating_lower_circuit/pipe_temperature,compartment/humidity_deficit,2,1.8085217201385275e-07,0.04878967173626746,0.04878967173626746,Action,State,True,6
compartment/humidity_deficit,compartment/humidity_deficit,1,0.0,0.6808643061062797,0.6808643061062797,State,State,True,6
compartment/humidity_deficit,compartment/humidity_deficit,4,2.9889889210937554e-08,0.05183394885305794,0.05183394885305794,State,State,True,6
compartment/humidity_deficit,compartment/humidity_deficit,5,9.605563516863547e-08,-0.049892766501851926,0.049892766501851926,State,State,True,6
compartment/screen_blackout/screen_position,compartment/humidity_deficit,1,0.02015174681436416,-0.021735754687593752,0.021735754687593752,Action,State,True,6
compartment/screen_energy/screen_position,compartment/humidity_deficit,1,2.106762885475162e-11,-0.06260498533925118,0.06260498533925118,Action,State,True,6
compartment/screen_energy/screen_position,compartment/humidity_deficit,2,0.01789347121468254,0.022150111754854346,0.022150111754854346,Action,State,True,6
compartment/window_position_lee_side,compartment/humidity_deficit,2,0.00021461384350897144,-0.034615483454679685,0.034615483454679685,Action,State,True,6
compartment/window_position_lee_side,compartment/humidity_deficit,3,0.003033151516447276,0.027728638713393677,0.027728638713393677,Action,State,True,6
energy/co2_dosage,compartment/humidity_deficit,1,0.009294887584919425,0.02433311288168399,0.02433311288168399,Action,State,True,6
