source,target,lag,pval,val,abs_val,source_group,target_group,hierarchy_allowed,method,use_autolag,use_hierarchy,tau_setting,bootstrap_stability,bootstrap_count,bootstrap_reps
compartment/air_temperature,compartment/leaf_temperature,1,9.706797882255425e-32,0.10947385619659195,0.10947385619659195,State,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/air_temperature,compartment/leaf_temperature,3,0.0024609937330105987,-0.028358129894977324,0.028358129894977324,State,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/humidity_deficit,compartment/leaf_temperature,3,0.07938594780347256,-0.016430123311434446,0.016430123311434446,State,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6215926671316709,0.6215926671316709,Physiology,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/leaf_temperature,compartment/leaf_temperature,4,4.307444931405178e-12,0.06479077526561561,0.06479077526561561,Physiology,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/par,compartment/leaf_temperature,1,3.307879996421254e-12,0.06514152810559358,0.06514152810559358,State,Physiology,True,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/window_position_lee_side,compartment/leaf_temperature,2,4.302675257502376e-05,0.03828529740204356,0.03828529740204356,Action,Physiology,False,standard_pcmciplus,False,False,fixed_tau_12,,,
energy/co2_dosage,compartment/leaf_temperature,1,9.652947901830462e-06,0.04141976999621844,0.04141976999621844,Action,Physiology,False,standard_pcmciplus,False,False,fixed_tau_12,,,
compartment/air_temperature,compartment/leaf_temperature,1,2.9319217704805e-23,0.09284667063814304,0.09284667063814304,State,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/humidity_deficit,compartment/leaf_temperature,5,0.08236361744883927,0.016264746319283853,0.016264746319283853,State,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/humidity_deficit,compartment/leaf_temperature,11,0.032123269596118394,-0.020062988657367047,0.020062988657367047,State,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.622274676321601,0.622274676321601,Physiology,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/leaf_temperature,compartment/leaf_temperature,4,1.764176805331691e-12,0.06594249192677273,0.06594249192677273,Physiology,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/par,compartment/leaf_temperature,1,7.984244136351911e-12,0.06395369161551367,0.06395369161551367,State,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/par,compartment/leaf_temperature,12,0.09251392428389917,0.01574710892333747,0.01574710892333747,State,Physiology,True,hierarchical_pcmciplus,False,True,fixed_tau_12,,,
compartment/air_temperature,compartment/leaf_temperature,1,1.419385302506441e-36,0.11804702517521148,0.11804702517521148,State,Physiology,True,autolag_pcmciplus,True,False,target_specific_autolag,,,
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6267876520656573,0.6267876520656573,Physiology,Physiology,True,autolag_pcmciplus,True,False,target_specific_autolag,,,
compartment/par,compartment/leaf_temperature,1,2.690679308244871e-09,0.05576021054914726,0.05576021054914726,State,Physiology,True,autolag_pcmciplus,True,False,target_specific_autolag,,,
energy/co2_dosage,compartment/leaf_temperature,1,4.5472547240212785e-06,0.04297885607246037,0.04297885607246037,Action,Physiology,False,autolag_pcmciplus,True,False,target_specific_autolag,,,
compartment/air_temperature,compartment/leaf_temperature,1,8.137050198487809e-30,0.10606872576003011,0.10606872576003011,State,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/leaf_temperature,compartment/leaf_temperature,1,0.0,0.6263408974705271,0.6263408974705271,Physiology,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,1.0,30.0,30.0
compartment/par,compartment/leaf_temperature,1,1.7289321795766882e-12,0.06609014922880746,0.06609014922880746,State,Physiology,True,hierarchical_autolag_pcmciplus,True,True,target_specific_autolag,0.9666666666666667,29.0,30.0
