fold,feature_set,model,horizon_steps,horizon_minutes,stageA_AirT_MAE,stageA_PAR_MAE,stageB_LeafT_MAE,amplification_ratio_vs_10min,feature_display_name
fold_1,TwoStage_CBF_AirT_PAR,PatchTST,1,10,0.29560394639381654,15.337720013102375,0.1479231449914358,0.6820814109331329,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,PatchTST,1,10,0.24564242451146923,15.622660524619198,0.22496205534253794,1.0373118832981785,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,PatchTST,1,10,0.293777371584017,18.576619840307405,0.3351286756424676,1.5452959706853229,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,PatchTST,1,10,0.33521522933899633,23.091999480132834,0.19082920884329171,0.8799235307133426,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,PatchTST,1,10,0.3074566175712704,30.107125991746496,0.18550801037480588,0.855387204370023,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,PatchTST,3,30,0.4715357942658052,23.14840365565132,0.19995789225139318,0.9220163706088181,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,PatchTST,3,30,0.40886311130297937,23.553886641625468,0.3585793166690402,1.6534281113291491,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,PatchTST,3,30,0.4962894967444617,28.98607265465326,0.4045580613423907,1.8654385241793416,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,PatchTST,3,30,0.5154868350389513,34.598476562038556,0.30349279362598514,1.3994212528163525,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,PatchTST,3,30,0.4866111148098333,41.55315356999716,0.32936343225852516,1.5187121298541937,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,PatchTST,6,60,0.6862743218609856,33.2540794449546,0.29461737155914297,1.358496214301729,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,PatchTST,6,60,0.6248067117825653,34.49001252560068,0.41026453267960306,1.8917513640081638,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,PatchTST,6,60,0.7258128996562041,42.30058857249289,0.5481800784761942,2.527687208070959,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,PatchTST,6,60,0.6971582588834994,47.48040780628376,0.43859528008502086,2.022385932142828,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,PatchTST,6,60,0.6794129891367675,53.896339459323045,0.5358433327851473,2.4708018240577965,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,PatchTST,12,120,1.05321483496252,46.90398835596137,0.7705892694564092,3.553227699365033,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,PatchTST,12,120,0.9701148087452965,47.85578930160777,0.7065323508731901,3.2578578746509868,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,PatchTST,12,120,1.1266044444142242,56.646190095343606,0.856450341769627,3.949137625097223,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,PatchTST,12,120,0.9716516722704003,62.08542086174676,0.6341747022053552,2.9242129464146505,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,PatchTST,12,120,0.947551542679883,68.98909974508489,0.8440950013973094,3.892166500029558,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,RF,1,10,0.29560394639381654,15.337720013102375,0.18104977767272373,0.6550403307180391,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,RF,1,10,0.24564242451146923,15.622660524619198,0.31617528424774866,1.1439260816596812,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,RF,1,10,0.293777371584017,18.576619840307405,0.39369499012980325,1.4243933345382593,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,RF,1,10,0.33521522933899633,23.091999480132834,0.26202873722451836,0.9480232060789612,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,RF,1,10,0.3074566175712704,30.107125991746496,0.22902548912010592,0.8286170470050592,Two-stage CBF
