feature,importance_std,abs_importance_std,importance_raw,abs_importance_raw,intercept_raw,rank_value,fold,horizon_steps,horizon_minutes,feature_set,model
compartment/leaf_temperature_lag1,2.1134280734997795,2.1134280734997795,0.9142189688640152,0.9142189688640152,1.0443145944103236,0.9142189688640152,fold_5,1,10,AR_only,Ridge
compartment/leaf_temperature_lag2,0.11314335699304558,0.11314335699304558,0.04894424744904945,0.04894424744904945,1.0443145944103236,0.04894424744904945,fold_5,1,10,AR_only,Ridge
compartment/leaf_temperature_lag3,-0.018133649357570822,0.018133649357570822,-0.007844512366380263,0.007844512366380263,1.0443145944103236,0.007844512366380263,fold_5,1,10,AR_only,Ridge
compartment/leaf_temperature_lag1,2.145477337234328,2.145477337234328,0.9318153603912953,0.9318153603912953,0.9245229895158324,0.9318153603912953,fold_4,1,10,AR_only,Ridge
compartment/leaf_temperature_lag2,0.10097173065164694,0.10097173065164694,0.04385228995885547,0.04385228995885547,0.9245229895158324,0.04385228995885547,fold_4,1,10,AR_only,Ridge
compartment/leaf_temperature_lag3,-0.03610155611898657,0.03610155611898657,-0.015678514187774238,0.015678514187774238,0.9245229895158324,0.015678514187774238,fold_4,1,10,AR_only,Ridge
compartment/leaf_temperature_lag1,2.125614671691591,2.125614671691591,0.9508139225411714,0.9508139225411714,0.8878925611309505,0.9508139225411714,fold_3,1,10,AR_only,Ridge
compartment/leaf_temperature_lag2,0.08799892697228624,0.08799892697228624,0.039361604008440444,0.039361604008440444,0.8878925611309505,0.039361604008440444,fold_3,1,10,AR_only,Ridge
compartment/leaf_temperature_lag3,-0.06447905392977922,0.06447905392977922,-0.028840210410706963,0.028840210410706963,0.8878925611309505,0.028840210410706963,fold_3,1,10,AR_only,Ridge
compartment/leaf_temperature_lag1,2.1120018054862078,2.1120018054862078,0.9671290812042881,0.9671290812042881,0.8541190611439333,0.9671290812042881,fold_2,1,10,AR_only,Ridge
compartment/leaf_temperature_lag3,-0.08899205409028935,0.08899205409028935,-0.04074834575918201,0.04074834575918201,0.8541190611439333,0.04074834575918201,fold_2,1,10,AR_only,Ridge
compartment/leaf_temperature_lag2,0.07909233705987782,0.07909233705987782,0.03621668840706656,0.03621668840706656,0.8541190611439333,0.03621668840706656,fold_2,1,10,AR_only,Ridge
compartment/leaf_temperature_lag1,2.219434735652954,2.219434735652954,0.9858052875668513,0.9858052875668513,0.7398269922948373,0.9858052875668513,fold_1,1,10,AR_only,Ridge
compartment/leaf_temperature_lag3,-0.12174903160275896,0.12174903160275896,-0.05407838275330042,0.05407838275330042,0.7398269922948373,0.05407838275330042,fold_1,1,10,AR_only,Ridge
compartment/leaf_temperature_lag2,0.07994559742707212,0.07994559742707212,0.03550969937429313,0.03550969937429313,0.7398269922948373,0.03550969937429313,fold_1,1,10,AR_only,Ridge
compartment/leaf_temperature_lag1,0.37956978508133027,0.37956978508133027,,,,0.37956978508133027,fold_5,1,10,AR_only,RF
compartment/leaf_temperature_lag2,0.33892400451246707,0.33892400451246707,,,,0.33892400451246707,fold_5,1,10,AR_only,RF
compartment/leaf_temperature_lag3,0.2815062104062027,0.2815062104062027,,,,0.2815062104062027,fold_5,1,10,AR_only,RF
compartment/leaf_temperature_lag1,0.3780457164431192,0.3780457164431192,,,,0.3780457164431192,fold_4,1,10,AR_only,RF
compartment/leaf_temperature_lag2,0.34063526240841613,0.34063526240841613,,,,0.34063526240841613,fold_4,1,10,AR_only,RF
compartment/leaf_temperature_lag3,0.28131902114846474,0.28131902114846474,,,,0.28131902114846474,fold_4,1,10,AR_only,RF
compartment/leaf_temperature_lag1,0.38010763971074935,0.38010763971074935,,,,0.38010763971074935,fold_3,1,10,AR_only,RF
compartment/leaf_temperature_lag2,0.33920589852667277,0.33920589852667277,,,,0.33920589852667277,fold_3,1,10,AR_only,RF
compartment/leaf_temperature_lag3,0.2806864617625779,0.2806864617625779,,,,0.2806864617625779,fold_3,1,10,AR_only,RF
compartment/leaf_temperature_lag1,0.37832117026506584,0.37832117026506584,,,,0.37832117026506584,fold_2,1,10,AR_only,RF
compartment/leaf_temperature_lag2,0.34460730909584536,0.34460730909584536,,,,0.34460730909584536,fold_2,1,10,AR_only,RF
compartment/leaf_temperature_lag3,0.27707152063908885,0.27707152063908885,,,,0.27707152063908885,fold_2,1,10,AR_only,RF
compartment/leaf_temperature_lag1,0.38224034824716885,0.38224034824716885,,,,0.38224034824716885,fold_1,1,10,AR_only,RF
compartment/leaf_temperature_lag2,0.3406648183849939,0.3406648183849939,,,,0.3406648183849939,fold_1,1,10,AR_only,RF
compartment/leaf_temperature_lag3,0.27709483336783736,0.27709483336783736,,,,0.27709483336783736,fold_1,1,10,AR_only,RF
compartment/leaf_temperature_lag1,0.589057445526123,0.589057445526123,,,,0.589057445526123,fold_5,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag2,0.3866075575351715,0.3866075575351715,,,,0.3866075575351715,fold_5,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag3,0.02433505840599537,0.02433505840599537,,,,0.02433505840599537,fold_5,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag1,0.5961342453956604,0.5961342453956604,,,,0.5961342453956604,fold_4,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag2,0.3808983862400055,0.3808983862400055,,,,0.3808983862400055,fold_4,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag3,0.02296743541955948,0.02296743541955948,,,,0.02296743541955948,fold_4,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag1,0.6056393384933472,0.6056393384933472,,,,0.6056393384933472,fold_3,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag2,0.37529173493385315,0.37529173493385315,,,,0.37529173493385315,fold_3,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag3,0.01906900852918625,0.01906900852918625,,,,0.01906900852918625,fold_3,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag1,0.6038250923156738,0.6038250923156738,,,,0.6038250923156738,fold_2,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag2,0.3777705132961273,0.3777705132961273,,,,0.3777705132961273,fold_2,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag3,0.01840432919561863,0.01840432919561863,,,,0.01840432919561863,fold_2,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag1,0.5965254902839661,0.5965254902839661,,,,0.5965254902839661,fold_1,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag2,0.38516858220100403,0.38516858220100403,,,,0.38516858220100403,fold_1,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag3,0.0183059461414814,0.0183059461414814,,,,0.0183059461414814,fold_1,1,10,AR_only,XGBoost
compartment/leaf_temperature_lag1,1.9233909662577273,1.9233909662577273,0.832013413630225,0.832013413630225,0.932748987738119,0.832013413630225,fold_5,1,10,AR_AirT,Ridge
compartment/air_temperature_lag1,0.27438591741267654,0.27438591741267654,0.12296522729289382,0.12296522729289382,0.932748987738119,0.12296522729289382,fold_5,1,10,AR_AirT,Ridge
compartment/leaf_temperature_lag2,0.06014104725757637,0.06014104725757637,0.026016183159570935,0.026016183159570935,0.932748987738119,0.026016183159570935,fold_5,1,10,AR_AirT,Ridge
compartment/leaf_temperature_lag3,-0.015610777722382252,0.015610777722382252,-0.006753132614253089,0.006753132614253089,0.932748987738119,0.006753132614253089,fold_5,1,10,AR_AirT,Ridge
