fold,feature_set,model,horizon_steps,horizon_minutes,n,p,n_train,n_val,n_test,runtime_s,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,feature_display_name,main_manuscript_configuration
fold_1,AR-LeafParents,PatchTST,1,10,11453,3,9437,1008,1008,4.081853151321411,0.3210694443441842,0.5276298725605565,0.9450749089820032,0.1437471999062433,0.19771102453918477,0.9816285685526004,0.16456988826630614,0.20924072299605398,0.9767911599140532,AR-LeafParents,True
fold_2,AR-LeafParents,PatchTST,1,10,11453,3,8429,1008,1008,2.314664125442505,0.34588497604067675,0.5657483024087405,0.9328688673843757,0.26997384343828473,0.3700901901260135,0.9565649733356518,0.2379959428878057,0.3111649636036141,0.9544946347596021,AR-LeafParents,True
fold_3,AR-LeafParents,PatchTST,1,10,11453,3,7421,1008,1008,3.3311848640441895,0.35408533106026785,0.5768894086190434,0.9333930930889532,0.17714300602201427,0.2556814892828056,0.9683944376666757,0.26678199639396055,0.35981982204005425,0.9589422529987591,AR-LeafParents,True
fold_4,AR-LeafParents,PatchTST,1,10,11453,3,6413,1008,1008,1.8179285526275635,0.3899767021289376,0.6380366469934386,0.9231868657529181,0.19659071516107632,0.28242077663573417,0.960668814149762,0.20276925177801217,0.284113327105188,0.9609745284760325,AR-LeafParents,True
fold_5,AR-LeafParents,PatchTST,1,10,11453,3,5405,1008,1008,1.643655776977539,0.4297084802108296,0.6729729986765128,0.9152388383502135,0.2941436556241481,0.3792972581174622,0.9420926290444146,0.2646222972365282,0.34681258552948296,0.9406892448783982,AR-LeafParents,True
fold_1,AR-LeafParents,RF,1,10,11453,3,9437,1008,1008,0.27771639823913574,0.22218213126160258,0.36892390812884507,0.9731474437576106,0.2377944629788273,0.31721822059469934,0.9527069337302758,0.2646227629716057,0.33951320446533423,0.9388953372426136,AR-LeafParents,True
fold_2,AR-LeafParents,RF,1,10,11453,3,8429,1008,1008,0.2660837173461914,0.2261601787411053,0.37692468472742513,0.9702020342894822,0.46716589564641753,0.6514892658661727,0.8654017310625051,0.46594764937484945,0.6017653839801044,0.8298093775195151,AR-LeafParents,True
fold_3,AR-LeafParents,RF,1,10,11453,3,7421,1008,1008,0.24723601341247559,0.23619304187363294,0.39280528947046944,0.9691191824299674,0.3049921558058511,0.4058478460055682,0.9203673005777989,0.5360029419666448,0.7132384741719934,0.8386776759623523,AR-LeafParents,True
fold_4,AR-LeafParents,RF,1,10,11453,3,6413,1008,1008,0.2479705810546875,0.2483677408982229,0.41137473693638327,0.9680684887499629,0.26610202982176917,0.3542821645419773,0.938106886011668,0.3588776753275131,0.45487615975557977,0.8999651560608151,AR-LeafParents,True
fold_5,AR-LeafParents,RF,1,10,11453,3,5405,1008,1008,0.22275257110595703,0.26445131978353964,0.43446076572343406,0.9646733262585572,0.40946953738124353,0.5941540724030772,0.8579070280467743,0.2945848074583014,0.3892222640742033,0.9252968175046028,AR-LeafParents,True
fold_1,AR-LeafParents,Ridge,1,10,11453,3,9437,1008,1008,0.0,0.32495680493170437,0.5373436287660586,0.9430339323380613,0.1819465438846103,0.23524723688533303,0.973990602890761,0.19196058111110736,0.23736333184435737,0.9701332290613207,AR-LeafParents,True
fold_2,AR-LeafParents,Ridge,1,10,11453,3,8429,1008,1008,0.0010006427764892578,0.34307429479506574,0.5607792954194738,0.9340429236180544,0.23085755479456482,0.2897112328205848,0.9733832139428443,0.21677675587026368,0.2695932047912329,0.9658414752344574,AR-LeafParents,True
fold_3,AR-LeafParents,Ridge,1,10,11453,3,7421,1008,1008,0.0,0.3648063630056901,0.5889978886294406,0.9305676905257348,0.19757373027060102,0.27829918864551595,0.9625554317321177,0.24541890984309686,0.3035797521821529,0.9707739212870485,AR-LeafParents,True
fold_4,AR-LeafParents,Ridge,1,10,11453,3,6413,1008,1008,0.0,0.3909588632359198,0.6228849699365162,0.9267917641893318,0.20598792191388066,0.2947047153479684,0.9571729732946218,0.20365568798113512,0.28385029451602123,0.9610467547194083,AR-LeafParents,True
fold_5,AR-LeafParents,Ridge,1,10,11453,3,5405,1008,1008,0.0010004043579101562,0.4227224722031312,0.6641622838630739,0.9174437343702806,0.23946421567453946,0.324149683783782,0.9577072771818215,0.2094734681456122,0.2976068830277144,0.9563253234379221,AR-LeafParents,True
fold_1,AR-LeafParents,TimeMixer,1,10,11453,3,9437,1008,1008,2.4123668670654297,0.3299945028435906,0.5376041236649057,0.9429786866212659,0.15075987808288083,0.20774572672786284,0.9797163820536225,0.15547844803522495,0.2030872425215676,0.978136167179216,AR-LeafParents,True
fold_2,AR-LeafParents,TimeMixer,1,10,11453,3,8429,1008,1008,3.523406505584717,0.33258157802420696,0.5490503273936197,0.9367731180113417,0.2825700878718542,0.3775087958251074,0.9548061754378775,0.24148952332753973,0.3083700852283283,0.9553084203908911,AR-LeafParents,True
fold_3,AR-LeafParents,TimeMixer,1,10,11453,3,7421,1008,1008,2.58738112449646,0.3610507134332875,0.5833622418095059,0.9318900177647973,0.20414315412914932,0.28402982798221477,0.9609974637873683,0.3778043946765718,0.49962247678837757,0.9208394357122232,AR-LeafParents,True
fold_4,AR-LeafParents,TimeMixer,1,10,11453,3,6413,1008,1008,1.4449973106384277,0.4125808895916786,0.6404908591942512,0.9225948047932596,0.19752104156231748,0.27982738482092884,0.9613878324343266,0.24283990368010502,0.31880069059951,0.9508635864585778,AR-LeafParents,True
fold_5,AR-LeafParents,TimeMixer,1,10,11453,3,5405,1008,1008,3.7216579914093018,0.39867230407232623,0.6392221843390817,0.9235274981715128,0.2829814282466248,0.38957799623950995,0.9389109627891202,0.22728574982395872,0.31263706772964833,0.951802479991103,AR-LeafParents,True
fold_1,AR-LeafParents,XGBoost,1,10,11453,3,9437,1008,1008,0.12050867080688477,0.26863328557198496,0.43854331855216183,0.9620565312558981,0.215558743022737,0.2851107258245019,0.9617960441302018,0.19951674733843122,0.269987478722709,0.9613590087591185,AR-LeafParents,True
fold_2,AR-LeafParents,XGBoost,1,10,11453,3,8429,1008,1008,0.10550546646118164,0.2789641396276155,0.453915465969969,0.9567857065782074,0.3579814897264753,0.4920814055678026,0.9232110278464569,0.3619764238690572,0.45748406723553403,0.901636681914228,AR-LeafParents,True
fold_3,AR-LeafParents,XGBoost,1,10,11453,3,7421,1008,1008,0.09650993347167969,0.28980520919511216,0.46673474036835594,0.956401214579488,0.2677883557667807,0.363044960306886,0.9362785320692019,0.4449158214387439,0.5959537348557026,0.8873710495465401,AR-LeafParents,True
fold_4,AR-LeafParents,XGBoost,1,10,11453,3,6413,1008,1008,0.09151005744934082,0.3035306877256916,0.48350286946568294,0.9558894625023003,0.23543240360482023,0.32657194291730013,0.9474102029385869,0.31454449714176236,0.40904622194401397,0.9191072278469936,AR-LeafParents,True
fold_5,AR-LeafParents,XGBoost,1,10,11453,3,5405,1008,1008,0.08650541305541992,0.32242031758224454,0.5081132608947504,0.9516804724064071,0.37996183338366507,0.580932971275665,0.8641603689704894,0.24405760865993598,0.33373886272629866,0.9450766121366572,AR-LeafParents,True
fold_1,AR-LeafParents,iTransformer,1,10,11453,3,9437,1008,1008,8.323953866958618,0.5216697904715359,0.7506510717133311,0.8888298346465405,0.5165106460026333,0.7218676654654239,0.7550957052349181,0.39657035305386507,0.6078139242310147,0.8041595933998442,AR-LeafParents,True
fold_2,AR-LeafParents,iTransformer,1,10,11453,3,8429,1008,1008,2.817383289337158,0.5523228340287397,0.7891633423855545,0.8693795238273032,0.9651639423673114,1.2270429062022974,0.5225318097146475,0.9356831266766502,1.1056392808595736,0.42547604310467024,AR-LeafParents,True
fold_3,AR-LeafParents,iTransformer,1,10,11453,3,7421,1008,1008,2.355226993560791,0.5746271610271874,0.8183853592780619,0.8659552411195519,0.6168798722161186,0.7819535552503714,0.7043847296289705,1.087546684628441,1.3317258759127795,0.4375879436143201,AR-LeafParents,True
