Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
10,Ridge,AR-AirT,AR_AirT,5,0.191 ± 0.024,0.258 ± 0.042,0.969 ± 0.012,0.00 ± 0.00
10,PatchTST,AR-only,AR_only,5,0.184 ± 0.019,0.258 ± 0.034,0.969 ± 0.009,5.96 ± 2.05
10,TimeMixer,AR-only,AR_only,5,0.186 ± 0.023,0.260 ± 0.037,0.969 ± 0.010,4.17 ± 0.57
10,Ridge,AR-AllState,AR_AllState,5,0.203 ± 0.025,0.268 ± 0.034,0.967 ± 0.008,0.00 ± 0.00
10,RF,AR-only,AR_only,5,0.200 ± 0.016,0.277 ± 0.026,0.965 ± 0.008,0.25 ± 0.01
10,Ridge,AR-LeafParents,AR-LeafParents,5,0.213 ± 0.020,0.278 ± 0.026,0.965 ± 0.006,0.00 ± 0.00
10,Ridge,AR-AirT-PAR,AR_AirT_PAR,5,0.214 ± 0.020,0.280 ± 0.027,0.964 ± 0.007,0.00 ± 0.00
10,XGBoost,AR-only,AR_only,5,0.204 ± 0.014,0.282 ± 0.026,0.963 ± 0.009,0.13 ± 0.01
10,Ridge,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.216 ± 0.019,0.283 ± 0.025,0.964 ± 0.006,0.00 ± 0.00
10,PatchTST,AR-AirT-PAR,AR_AirT_PAR,5,0.206 ± 0.043,0.288 ± 0.073,0.963 ± 0.012,4.04 ± 1.32
10,RF,AR-PAR,AR_PAR,5,0.213 ± 0.027,0.290 ± 0.033,0.962 ± 0.006,0.27 ± 0.02
10,Ridge,AR-LeafParents-window,AR_AirT_PAR_window,5,0.222 ± 0.031,0.294 ± 0.035,0.961 ± 0.002,0.00 ± 0.00
10,Ridge,AR-only,AR_only,5,0.217 ± 0.018,0.295 ± 0.033,0.960 ± 0.010,0.01 ± 0.01
10,Ridge,AR-PAR,AR_PAR,5,0.225 ± 0.019,0.295 ± 0.022,0.960 ± 0.006,0.00 ± 0.00
10,Ridge,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.222 ± 0.031,0.297 ± 0.031,0.960 ± 0.004,0.00 ± 0.00
10,PatchTST,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.217 ± 0.072,0.300 ± 0.104,0.959 ± 0.019,4.08 ± 1.79
10,PatchTST,AR-AirT,AR_AirT,5,0.219 ± 0.098,0.302 ± 0.127,0.958 ± 0.025,4.16 ± 2.38
10,PatchTST,AR-LeafParents,AR-LeafParents,5,0.227 ± 0.044,0.302 ± 0.060,0.958 ± 0.013,2.64 ± 1.04
10,ValidationSelected,Two-stage CBF-validation,TwoStage_CBF_AirT_PAR_ValidationSelected,5,0.235 ± 0.031,0.303 ± 0.039,0.959 ± 0.008,0.13 ± 0.12
10,XGBoost,AR-PAR,AR_PAR,5,0.222 ± 0.027,0.305 ± 0.039,0.958 ± 0.006,0.09 ± 0.01
10,TimeMixer,AR-AirT,AR_AirT,5,0.227 ± 0.069,0.319 ± 0.109,0.954 ± 0.023,3.28 ± 1.55
10,iTransformer,AR-AirT,AR_AirT,5,0.240 ± 0.048,0.322 ± 0.061,0.953 ± 0.013,3.83 ± 2.15
10,TimeMixer,AR-LeafParents,AR-LeafParents,5,0.249 ± 0.080,0.329 ± 0.107,0.951 ± 0.020,2.74 ± 0.92
10,TimeMixer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.257 ± 0.076,0.339 ± 0.091,0.948 ± 0.018,3.43 ± 0.67
10,TimeMixer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.263 ± 0.051,0.345 ± 0.068,0.946 ± 0.015,4.20 ± 1.08
10,PatchTST,AR-LeafParents-window,AR_AirT_PAR_window,5,0.258 ± 0.092,0.345 ± 0.117,0.947 ± 0.024,5.69 ± 2.68
10,TimeMixer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.254 ± 0.049,0.346 ± 0.072,0.946 ± 0.014,4.56 ± 1.45
10,iTransformer,AR-AirT-PAR,AR_AirT_PAR,5,0.268 ± 0.050,0.352 ± 0.067,0.943 ± 0.020,5.16 ± 2.52
10,PatchTST,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.257 ± 0.056,0.354 ± 0.085,0.943 ± 0.022,6.14 ± 3.05
10,RF,AR-AirT,AR_AirT,5,0.260 ± 0.081,0.369 ± 0.121,0.938 ± 0.030,0.27 ± 0.02
10,XGBoost,AR-AirT,AR_AirT,5,0.264 ± 0.087,0.371 ± 0.128,0.937 ± 0.030,0.08 ± 0.00
10,XGBoost,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.272 ± 0.086,0.372 ± 0.118,0.937 ± 0.028,0.10 ± 0.00
10,iTransformer,AR-only,AR_only,5,0.274 ± 0.032,0.377 ± 0.047,0.935 ± 0.015,5.01 ± 2.33
10,iTransformer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.289 ± 0.067,0.377 ± 0.074,0.935 ± 0.021,6.30 ± 2.77
10,RF,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.276 ± 0.082,0.378 ± 0.117,0.935 ± 0.027,0.30 ± 0.03
10,XGBoost,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.277 ± 0.095,0.381 ± 0.135,0.933 ± 0.035,0.11 ± 0.01
10,XGBoost,AR-AirT-PAR,AR_AirT_PAR,5,0.280 ± 0.088,0.382 ± 0.124,0.934 ± 0.030,0.09 ± 0.01
