split,bridge_variable,bridge_variable_full,horizon_steps,horizon_minutes,stageA_model,stageA_runtime_s,MAE,RMSE,R2,fold,final_model,feature_set,stageB_model_selected
train,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3860891402600663,0.5404756879116898,0.941334451587442,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
val,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3740025443327135,0.5176328556445511,0.9206881424050383,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
test,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3074566175712704,0.4331213278519793,0.9180050343500862,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
train,PAR,compartment/par,1,10,Ridge,0.0,48.97082179349063,90.09112466678765,0.6754562381099017,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
val,PAR,compartment/par,1,10,Ridge,0.0,29.73802928728179,52.85192487537368,0.7227654201398002,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
test,PAR,compartment/par,1,10,Ridge,0.0,30.107125991746496,56.746705004764074,0.6450458376969304,fold_5,Ridge,TwoStage_CBF_AirT_PAR,
train,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.3803823530871426,0.5356331713309558,0.9457790852915273,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
val,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.30745809068918617,0.4336223445582701,0.9178152279134802,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
test,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.33521522933899633,0.4807113264249567,0.9193486542083507,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
train,PAR,compartment/par,1,10,Ridge,0.0009999275207519531,45.64542897110024,85.29939466446959,0.6813455272104045,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
val,PAR,compartment/par,1,10,Ridge,0.0009999275207519531,29.215256207620133,56.23312985252143,0.6514416529994469,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
test,PAR,compartment/par,1,10,Ridge,0.0009999275207519531,23.091999480132834,41.7279698716523,0.8117057175891027,fold_4,Ridge,TwoStage_CBF_AirT_PAR,
train,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.37043316132175846,0.5227387429419129,0.9444993586444163,fold_3,Ridge,TwoStage_CBF_AirT_PAR,
val,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.32916789475444636,0.4758058072811835,0.9209863025030128,fold_3,Ridge,TwoStage_CBF_AirT_PAR,
test,Air_T,compartment/air_temperature,1,10,Ridge,0.0,0.293777371584017,0.4231141309035124,0.9588261469879669,fold_3,Ridge,TwoStage_CBF_AirT_PAR,
train,PAR,compartment/par,1,10,Ridge,0.0010020732879638672,43.246403863689366,81.93162010096418,0.6820416739650786,fold_3,Ridge,TwoStage_CBF_AirT_PAR,
val,PAR,compartment/par,1,10,Ridge,0.0010020732879638672,22.864246198744183,41.33864036877181,0.8152029655367579,fold_3,Ridge,TwoStage_CBF_AirT_PAR,
