roc_auc,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc,pr_auc_mean,pr_auc_std,pr_auc_mean_std,f1,f1_mean,f1_std,f1_mean_std,brier,brier_mean,brier_std,brier_mean_std,precision,precision_mean,precision_std,precision_mean_std,recall,recall_mean,recall_std,recall_mean_std,top10_alert_precision,top10_alert_precision_mean,top10_alert_precision_std,top10_alert_precision_mean_std,sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,n_folds,n_samples,positive_rate
0.9203292888775124,0.9203292888775124,0.04529510242576034,0.920 ± 0.045,0.7025122693187216,0.7025122693187216,0.12629102281830304,0.703 ± 0.126,0.6505592128230406,0.6505592128230406,0.08737380470384473,0.651 ± 0.087,0.09286085078712397,0.09286085078712397,0.049754149348073144,0.093 ± 0.050,0.6141756611214959,0.6141756611214959,0.10772692441037648,0.614 ± 0.108,0.698005922652501,0.698005922652501,0.08450109448550086,0.698 ± 0.085,0.6764331210191082,0.6764331210191082,0.24960514885291887,0.676 ± 0.250,clean,0.85,3.1400000000000006,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,5,10420,0.15134357005758156
0.9275200422593356,0.9275200422593356,0.04251298886560784,0.928 ± 0.043,0.7243797072283467,0.7243797072283467,0.1097414455812695,0.724 ± 0.110,0.665028129103349,0.665028129103349,0.08999306104338149,0.665 ± 0.090,0.07024400836183992,0.07024400836183992,0.03896810439612856,0.070 ± 0.039,0.6177633361168788,0.6177633361168788,0.11845726500025877,0.618 ± 0.118,0.7281580715195191,0.7281580715195191,0.06631310296568067,0.728 ± 0.066,0.6993630573248407,0.6993630573248407,0.24984883254744156,0.699 ± 0.250,clean,0.85,3.1400000000000006,DT-proxy base,DT_PROXY_BASE,RF,rf,10,5,10420,0.15134357005758156
0.9258532797250234,0.9258532797250234,0.04462199330783003,0.926 ± 0.045,0.716641521299405,0.716641521299405,0.12359998490684947,0.717 ± 0.124,0.6652576461015917,0.6652576461015917,0.09178448806308855,0.665 ± 0.092,0.06275289672082285,0.06275289672082285,0.03921155569275117,0.063 ± 0.039,0.6586869859205378,0.6586869859205378,0.09213706250998994,0.659 ± 0.092,0.672633749491536,0.672633749491536,0.09366386465467307,0.673 ± 0.094,0.6815286624203821,0.6815286624203821,0.2456981085603301,0.682 ± 0.246,clean,0.85,3.1400000000000006,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,5,10420,0.15134357005758156
0.9299270512363329,0.9299270512363329,0.04286904818749441,0.930 ± 0.043,0.7104975795788256,0.7104975795788256,0.138920792872998,0.710 ± 0.139,0.6323868307653154,0.6323868307653154,0.10287139904605015,0.632 ± 0.103,0.07401048568035044,0.07401048568035044,0.04430010763053241,0.074 ± 0.044,0.6935284813471051,0.6935284813471051,0.12718486150481195,0.694 ± 0.127,0.5858688142901041,0.5858688142901041,0.10203095192514088,0.586 ± 0.102,0.6726114649681529,0.6726114649681529,0.2507484030928548,0.673 ± 0.251,clean,0.85,3.1400000000000006,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,5,10420,0.15134357005758156
0.9166572620399908,0.9166572620399908,0.04589870175725955,0.917 ± 0.046,0.7092383183182004,0.7092383183182004,0.1357358727052635,0.709 ± 0.136,0.6496176065638007,0.6496176065638007,0.08130245829744963,0.650 ± 0.081,0.0655013547509112,0.0655013547509112,0.04317520815630774,0.066 ± 0.043,0.7518741319090678,0.7518741319090678,0.1107668548106458,0.752 ± 0.111,0.5772785889131988,0.5772785889131988,0.0828215060141048,0.577 ± 0.083,0.7019108280254777,0.7019108280254777,0.25956488587032595,0.702 ± 0.260,clean,0.85,3.1400000000000006,Causal-parents,CAUSAL_PARENTS,RF,rf,10,5,10420,0.15134357005758156
0.9173014428350992,0.9173014428350992,0.054351557255257144,0.917 ± 0.054,0.7095615174611276,0.7095615174611276,0.14968596281782928,0.710 ± 0.150,0.6389248305671609,0.6389248305671609,0.10320199946297864,0.639 ± 0.103,0.06650847564190969,0.06650847564190969,0.046161259302280315,0.067 ± 0.046,0.7157605780959527,0.7157605780959527,0.14319968014140477,0.716 ± 0.143,0.5823510984827516,0.5823510984827516,0.08812543382282603,0.582 ± 0.088,0.6929936305732484,0.6929936305732484,0.25776118645476015,0.693 ± 0.258,clean,0.85,3.1400000000000006,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,5,10420,0.15134357005758156
0.9123948584860283,0.9123948584860283,0.07956103086001798,0.912 ± 0.080,0.698686926696383,0.698686926696383,0.1570502223017547,0.699 ± 0.157,0.6115334994773973,0.6115334994773973,0.1151403599918445,0.612 ± 0.115,0.08410161672374698,0.08410161672374698,0.05450348726767042,0.084 ± 0.055,0.6486504367731174,0.6486504367731174,0.1798431328796916,0.649 ± 0.180,0.5980199674903984,0.5980199674903984,0.09697563812932118,0.598 ± 0.097,0.686624203821656,0.686624203821656,0.24447316930983248,0.687 ± 0.244,clean,0.85,3.1400000000000006,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,5,10420,0.15134357005758156
0.9061495562358056,0.9061495562358056,0.05575394267045551,0.906 ± 0.056,0.6740997227616762,0.6740997227616762,0.17548617675381245,0.674 ± 0.175,0.6009907486330516,0.6009907486330516,0.10790168043986045,0.601 ± 0.108,0.07034224861168911,0.07034224861168911,0.04251908912001922,0.070 ± 0.043,0.7652500274049813,0.7652500274049813,0.15046293080037,0.765 ± 0.150,0.5101501675624458,0.5101501675624458,0.11748217841214999,0.510 ± 0.117,0.7070063694267515,0.7070063694267515,0.25573069936158893,0.707 ± 0.256,clean,0.85,3.1400000000000006,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,5,10420,0.15134357005758156
0.918523469329663,0.918523469329663,0.06296411759725257,0.919 ± 0.063,0.6896296726931664,0.6896296726931664,0.16665157247137763,0.690 ± 0.167,0.6087942077816672,0.6087942077816672,0.13408441484041264,0.609 ± 0.134,0.06967032989002862,0.06967032989002862,0.052773332946809796,0.070 ± 0.053,0.718876155137697,0.718876155137697,0.16650405658768627,0.719 ± 0.167,0.5405957982222416,0.5405957982222416,0.13048222504127002,0.541 ± 0.130,0.6878980891719745,0.6878980891719745,0.24787628945592416,0.688 ± 0.248,clean,0.85,3.1400000000000006,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,5,10420,0.15134357005758156
0.8410037396503854,0.8410037396503854,0.05231386143099419,0.841 ± 0.052,0.5156228464921919,0.5156228464921919,0.15769811434450126,0.516 ± 0.158,0.5125973115905202,0.5125973115905202,0.098846741913491,0.513 ± 0.099,0.12726596143611227,0.12726596143611227,0.05183990319149975,0.127 ± 0.052,0.4679203669220291,0.4679203669220291,0.09304821692479172,0.468 ± 0.093,0.5674107220588859,0.5674107220588859,0.10796658907585334,0.567 ± 0.108,0.5423076923076923,0.5423076923076923,0.21731620133102533,0.542 ± 0.217,clean,0.85,3.1400000000000006,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,5,10406,0.15145108591197387
