sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.6965633005013762,0.04585329538380103,0.7624136169575352
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.5906066761347366,0.07973799099887699,0.632883592451724
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.39469895362854,0.037395853934411104,0.39344269037246704
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.6227570998137801,0.11356414715097152,0.7350046243139092
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.6171158949190159,0.037695222881736684,0.6146519729946559
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.43158518671989443,0.016017959982573857,0.4414479732513428
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.7180804682403276,0.02645944006071769,0.7565994387134295
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.6352968217635455,0.0183984728552181,0.6370596054892691
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.4582610249519348,0.021964130363343812,0.4452537000179291
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.6212697990989842,0.02613547096973477,0.6552597509968603
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.6496509617501398,0.027311403850021683,0.6170197698544495
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.31849520802497866,0.0327086319132641,0.30229559540748596
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.6624740591314365,0.043652921871498974,0.6896073377739417
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.6048021976246462,0.023088637140928816,0.5857407808534048
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.40418481826782227,0.01728212954694313,0.41432860493659973
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.6934575426190266,0.029658824518041433,0.7284548795919292
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.6189705258609669,0.015185737211620726,0.6233947894347521
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.4114073097705841,0.03457434251980167,0.37487855553627014
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.6136268962789557,0.036574111598701796,0.6656838385133584
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.6222504690343666,0.014857136378609003,0.6057128602423507
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.31800689697265627,0.01947070205084578,0.30868059396743774
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.601758615044688,0.05379236325878437,0.6398317097957875
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.5712557862179125,0.016926461976723418,0.566954522801684
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.34533568024635314,0.04756569174608238,0.3028605282306671
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.6454117549753904,0.019005108264952653,0.6471230376233811
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.6066688452883264,0.010471534355455553,0.612721965567534
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,60,0.37621928453445436,0.049352239014931104,0.3188781440258026
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,120,0.5503791803966422,0.027734110956031677,0.5878193972554673
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,RF,rf,120,0.5484025871474932,0.020957864248220454,0.5593172046475133
clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,120,0.26129071712493895,0.07375350019195806,0.2132605016231537
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,120,0.545209954426027,0.0428057294415437,0.5993088558416155
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,RF,rf,120,0.5917299504133176,0.009564166397406168,0.605632032144013
clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,120,0.3681829035282135,0.036115188371401125,0.3274521231651306
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,120,0.5765898317200197,0.05170476040918535,0.5800058052573058
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,120,0.6121369678428694,0.013939358214765522,0.6058719815864446
clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,120,0.36935992240905763,0.04075036458368746,0.3360650837421417
