sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.8913779356151539,0.013401817180405966,0.8862307416804442
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.6200394259744304,0.046999446380163054,0.6509169243247146
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.3859321355819702,0.01855206489961068,0.3717382550239563
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.851901175146464,0.05388185170518609,0.884119087711514
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.5752381312108642,0.03115831662400043,0.5793730228089525
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.369562029838562,0.030505136800927632,0.3718274235725403
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.8391856407713222,0.04774458788066393,0.8932947516640367
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.5769349583098607,0.01154317302015731,0.5675855684823998
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.4276067793369293,0.02401184673731924,0.46532657742500305
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.8128511024651038,0.03835919353252696,0.8567077933977989
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5383537507262401,0.06231388957525077,0.5162713600287085
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.3734750270843506,0.0488427870830908,0.34083718061447144
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.7940132402126072,0.061493341280405636,0.843623335796257
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5863099942300136,0.011800796371004603,0.5720852137205703
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.36121309995651246,0.04129128579194125,0.4101395010948181
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.8551274458664715,0.03515752517416487,0.8569739059058711
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.5735963838037712,0.01891711959456557,0.5584265959453614
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.3589863121509552,0.025079169208356348,0.3334847092628479
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.7530269469885847,0.025127957909084037,0.7557137837894042
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5421094797772784,0.0214879791902632,0.5389845880443248
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.31694319248199465,0.029022847538359823,0.2919674217700958
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.7095833871607793,0.061148925961073526,0.7186838376856859
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.541357978399118,0.015452520758660436,0.5372603621870476
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.2971831738948822,0.04764085325270846,0.3268718719482422
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.7815411441603978,0.07319490349940883,0.7900141800220799
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.5611193541312172,0.023874827725914136,0.5850608480614363
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,60,0.3129164755344391,0.03715081923074581,0.2810184359550476
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,120,0.7361786183984437,0.03781405850234454,0.7517939097934248
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,RF,rf,120,0.49891607590624343,0.018961948513622796,0.48507546117223227
missing_10,0.95,4.27,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,120,0.2452815890312195,0.02287053645996013,0.26665905117988586
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,120,0.6917474383864879,0.035818578529897234,0.7394743119036247
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,RF,rf,120,0.5377989660914284,0.030407314408872274,0.586992494691687
missing_10,0.95,4.27,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,120,0.2642159640789032,0.022299644432609542,0.2479478418827057
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,120,0.7737025007610119,0.04086255420629158,0.8219443104445978
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,120,0.5539976085490882,0.020651339075519633,0.5689103479363582
missing_10,0.95,4.27,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,120,0.3130632877349854,0.024818732255752936,0.2902207672595978
