feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,2.920817282772709,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.32850758782431844,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.31639109032980395,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.4150098314847919,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.31705760381250114,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.26793256470270693,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5631707906723022,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.349185973405838,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.08764317631721497,missing_5,0.85,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,2.873239303271027,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,1.2309050319088697,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,1.219953001957627,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,1.189061762717494,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.5450531030926299,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.402447345085489,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.31375067693515396,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.26127972285021434,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.2519783089222871,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.17127471563121058,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag2,0.012028196198160902,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.0037065281911638336,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag1,0.3449509402515984,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag2,0.20891308618887847,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag3,0.15088467272230555,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag3,0.05243457895004516,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag1,0.047035968382825734,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag2,0.04548447197404414,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag1,0.03230588779842699,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag2,0.027576156512583338,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag3,0.025568854206529653,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag1,0.02359710996906853,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag2,0.021052218282360972,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag3,0.02019605476133301,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag1,0.47216635942459106,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
deltaT_raw_lag2,0.14255286753177643,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
deltaT_raw_lag3,0.046817559748888016,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/leaf_temperature_lag2,0.045801661908626556,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/leaf_temperature_lag1,0.04405041038990021,missing_5,0.85,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
