sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,threshold_mean,threshold_std,threshold_last_fold
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,0.5672736050677141,0.03582351431849231,0.6125264823186005
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,RF,rf,10,0.5131584793563881,0.039463667154489866,0.5598065389273179
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,0.31180421710014344,0.03807950008813702,0.2753489315509796
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,0.591414478887325,0.06327222611518617,0.6768493729696257
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,RF,rf,10,0.537896347397061,0.026905114836567635,0.5316905094033737
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,0.36824800372123717,0.03958673831789358,0.341278612613678
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,0.60926436908873,0.057093655759275115,0.6684946133225986
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,0.5532271998361319,0.02305269134388798,0.5561103198057271
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,0.3566146731376648,0.049912795194069735,0.3120151460170746
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,0.5636961177093999,0.0320789258685851,0.6085645668544543
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,RF,rf,30,0.5219171567295484,0.015037657226519424,0.5301192759046195
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,30,0.2923411399126053,0.04737565643025407,0.24396859109401703
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,30,0.549764453467269,0.06546491115003669,0.6505707010539338
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,RF,rf,30,0.5369164777755011,0.04134918696591479,0.48912209392202194
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,30,0.3544772803783417,0.03601921191932,0.3399640619754791
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,30,0.5435980708324009,0.06082785191483299,0.6422968717479405
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,30,0.5544981132258607,0.03278827946781589,0.5318767243103213
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,30,0.3593463659286499,0.07155388506358716,0.3084060847759247
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,60,0.5301054848408346,0.022027086225038187,0.5586183600123231
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,RF,rf,60,0.5094935935770406,0.01147955712345079,0.5058856086955105
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,60,0.2603718787431717,0.03131250528483325,0.21561214327812195
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,60,0.5314183714311691,0.04512539398482784,0.5837647843727223
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,RF,rf,60,0.540858611443944,0.010828755806787077,0.536076644820186
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,60,0.33976592421531676,0.041461771389783894,0.28831273317337036
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60,0.5443948743817331,0.05229876544359658,0.6000467952209653
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60,0.537596592670458,0.015135524568223143,0.5445485834490177
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,60,0.35842580199241636,0.03564168662466762,0.3111047148704529
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,120,0.5286377488146149,0.015472534920136219,0.5516831756822569
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,RF,rf,120,0.49218756307376366,0.01178840395837943,0.497027015314922
noise_10,0.85,3.226096738448965,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,120,0.2813776612281799,0.03151357557409159,0.259459525346756
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,120,0.5236047685800747,0.036803821159004525,0.5663262200154526
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,RF,rf,120,0.5478143515009546,0.012372473217418934,0.566964039769417
noise_10,0.85,3.226096738448965,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,120,0.37389440536499025,0.04109405175858242,0.35128524899482727
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,120,0.5592180468788338,0.03595043758786291,0.5999904082623977
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,120,0.5337590201391443,0.011232372258890346,0.5274987653926891
noise_10,0.85,3.226096738448965,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,120,0.38308321237564086,0.042348939016997024,0.35068514943122864
