feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
deltaT_raw_lag1,1.5743200454223485,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag2,0.3268366346408835,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag3,0.2821165119667509,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10
deltaT_raw_lag1,0.40685829086799435,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag2,0.3137143849070105,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag3,0.27942732422499517,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,RF,rf,10
deltaT_raw_lag1,0.5224789977073669,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag2,0.32947731018066406,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag3,0.148043692111969,noise_5,0.95,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10
deltaT_raw_lag1,1.598573390737779,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag2,0.4541460199313235,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag2,0.43402625191602745,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag1,0.41246835164059725,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag1,0.26392901483296327,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag3,0.2175093656756325,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag1,0.20563204562331033,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag3,0.16923875975550184,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag2,0.15535331135364888,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/air_temperature_lag3,0.129623542805099,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/leaf_temperature_lag3,0.030629545850529512,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
compartment/par_lag2,0.02957327682981586,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10
deltaT_raw_lag1,0.27933944165699964,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag2,0.15360656987220994,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag3,0.12092033051957898,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag1,0.07690372649924936,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag1,0.06468143184482612,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag3,0.06211254821172995,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/leaf_temperature_lag2,0.06118070370471945,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag3,0.04879141716725313,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/par_lag2,0.046506925754282225,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag3,0.03031159742546038,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag1,0.02928583661714621,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
compartment/air_temperature_lag2,0.026359470726544508,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,RF,rf,10
deltaT_raw_lag1,0.39007121324539185,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
deltaT_raw_lag2,0.08675166219472885,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/leaf_temperature_lag1,0.07455772906541824,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/leaf_temperature_lag2,0.07133742421865463,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/par_lag1,0.06721333414316177,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/par_lag2,0.053757909685373306,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
deltaT_raw_lag3,0.05222183093428612,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/leaf_temperature_lag3,0.051990482956171036,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/par_lag3,0.04692663624882698,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/air_temperature_lag3,0.037634167820215225,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/air_temperature_lag1,0.03612014278769493,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
compartment/air_temperature_lag2,0.03141738846898079,noise_5,0.95,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10
deltaT_raw_lag1,1.5318940350787404,noise_5,0.95,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10
